codigo,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock,probabilidad_agotamiento
8074.0,2,28,1.2,1,2,1,0.0833,26,0.0009938496450329114
167653.0,2,34,1.33,1,2,12,0.1111,17,0.0008898964023543524
786512.0,1,19,1.67,1,2,0,0.0417,18,0.0006934678948704208
611488.0,1,12,1.5,1,2,1,0.0417,13,0.000680102206796194
786803.0,1,8,2.0,2,2,0,0.0139,7,0.0006648550198740129
621629.0,2,11,1.0,1,1,1,0.0833,7,0.0005625364229911253
788150.0,2,27,1.0,1,1,1,0.0556,6,0.0005097465673034606
778009.0,2,37,1.0,1,1,1,0.1389,39,0.0004456643342613139
169516.0,2,13,1.0,1,1,1,0.1111,14,0.00041916809500778434
6987.0,2,32,2.0,1,3,12,0.0694,22,0.0003239961107452151
778315.0,2,38,1.0,1,1,1,0.125,30,0.00022644218558521355
168067.0,1,54,1.5,1,2,11,0.0417,14,0.0001838235294117647
168793.0,2,82,1.43,1,3,22,0.1528,73,0.0001664100330487793
779818.0,1,18,1.5,1,2,0,0.0278,13,0.00015647420621124297
788283.0,1,23,1.5,1,2,0,0.0278,11,0.00015647420621124297
623400.0,1,17,1.5,1,2,0,0.0278,15,0.00015647420621124297
788559.0,1,20,1.0,1,1,0,0.0278,4,0.00013636363636363637
168797.0,2,28,1.0,1,1,14,0.125,22,9.097932100042765e-05
188429.0,2,102,3.5,1,8,16,0.1111,75,6.134969325153375e-05
351734.0,2,208,2.0,1,3,91,0.0556,178,5.863612899839015e-05
168107.0,2,205,1.2,1,2,48,0.1806,108,5.580626385315994e-05
616591.0,2,68,1.0,1,1,1,0.1944,68,5.4655829198557146e-05
611991.0,2,16,1.0,1,1,1,0.0694,9,4.368340730576985e-05
167656.0,2,56,1.2,1,2,33,0.0833,26,4.338562148797788e-05
168199.0,2,187,1.2,1,2,74,0.0972,130,3.696516172489974e-05
616614.0,2,19,1.0,1,1,1,0.0833,18,3.1802247029620756e-05
209387.0,1,843,6.0,2,10,0,0.0417,733,2.5491624180626365e-05
206494.0,1,35,2.0,2,2,0,0.0139,27,1.6680567139282734e-05
7826.0,2,18,1.0,1,1,1,0.0694,17,1.0570824524312897e-05
616312.0,2,45,1.0,1,1,1,0.0556,24,1.0570824524312897e-05
165078.0,2,19,1.0,1,1,1,0.0694,19,1.0570824524312897e-05
168520.0,2,21,1.0,1,1,3,0.0694,16,6.821282401091405e-06
188486.0,2,102,1.75,1,3,14,0.0694,37,4.549590536851683e-06
616585.0,1,50,1.0,1,1,1,0.0417,39,0.0
611491.0,1,19,1.0,1,1,1,0.0278,8,0.0
169546.0,1,16,1.0,1,1,0,0.0139,11,0.0
169640.0,1,17,1.0,1,1,0,0.0139,11,0.0
206293.0,1,4,0.0,0,0,2,0.0278,4,0.0
167878.0,1,15,0.0,0,0,1,0.0139,15,0.0
