codigo,fecha,stock_actual,agotado_30d,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,probabilidad_agotamiento
939347.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
778201.0,2026-12-01,1,1,2,30,1.0,1,1,8,0.0972,0.783491013869536
168127.0,2026-12-01,95,0,0,251,2.07,1,8,41,0.2778,0.009810680981994635
167656.0,2026-12-01,20,0,2,56,1.2,1,2,33,0.0833,0.01004338562148798
7811.0,2026-12-01,0,0,0,6,1.27,1,3,1,0.2361,0.13435100942753495
777902.0,2026-12-01,55,0,0,70,1.31,1,2,9,0.25,0.0010012211619762706
784684.0,2026-12-01,0,1,0,55,5.06,1,51,11,0.4028,0.9464188685322854
188493.0,2026-12-01,56,0,1,63,1.0,1,1,0,0.0139,0.0
786512.0,2026-12-01,3,0,1,19,1.67,1,2,0,0.0417,0.7974163784328653
784661.0,2026-12-01,0,1,0,12,2.75,1,8,3,0.2083,0.633134386315346
7532.0,2026-12-01,21,0,1,25,1.0,1,1,0,0.0139,0.0
7534.0,2026-12-01,19,0,1,27,1.0,1,1,1,0.0417,0.0
167789.0,2026-12-01,20,0,2,22,2.0,1,3,3,0.0833,0.002143375399800249
167717.0,2026-12-01,8,0,2,40,1.0,1,1,18,0.0833,0.000423728813559322
166642.0,2026-12-01,0,0,0,7,1.09,1,2,2,0.2083,0.050463443573106254
7634.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
781313.0,2026-12-01,16,0,1,14,1.5,1,2,0,0.0278,0.00015647420621124297
168181.0,2026-12-01,13,0,0,74,1.31,1,3,23,0.2222,0.3183192916589317
937323.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
781216.0,2026-12-01,5,0,2,17,2.25,1,5,4,0.1111,0.4910385665737306
786502.0,2026-12-01,6,0,2,27,1.0,1,1,1,0.0556,0.0005097465673034606
786326.0,2026-12-01,0,0,1,26,4.0,4,4,5,0.0417,0.00333704166539669
784665.0,2026-12-01,0,0,0,102,7.27,1,82,19,0.3472,0.8008863407098704
7730.0,2026-12-01,40,0,2,66,1.0,1,1,18,0.0833,0.0
781128.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
7770.0,2026-12-01,0,0,0,175,2.24,1,7,23,0.5694,0.0061521449506416115
786302.0,2026-12-01,0,1,0,33,3.38,1,17,5,0.2361,0.48727836744375014
786157.0,2026-12-01,0,1,2,48,11.0,1,29,11,0.125,0.44517016338564486
779958.0,2026-12-01,0,0,0,54,1.81,1,4,10,0.3889,0.017378562790865706
778254.0,2026-12-01,21,0,1,30,1.0,1,1,1,0.0417,0.0
167878.0,2026-12-01,15,0,1,15,0.0,0,0,1,0.0139,0.0
785398.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
