codigo,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock,probabilidad_agotamiento
611491.0,1,19,1.0,1,1,1,0.0278,10,0.0
903904.0,3,0,0.0,0,0,0,0.0,1,0.0
166742.0,1,17,1.0,1,1,0,0.0417,8,0.0
921316.0,3,0,0.0,0,0,0,0.0,1,0.0
4212930.0,3,0,0.0,0,0,0,0.0,1,0.0
778838.0,3,0,0.0,0,0,0,0.0,1,0.0
927702.0,3,0,0.0,0,0,0,0.0,1,0.0
4220232.0,3,0,0.0,0,0,0,0.0,1,0.0
166547.0,3,0,0.0,0,0,0,0.0,1,0.0
4219269.0,3,0,0.0,0,0,0,0.0,1,0.0
188447.0,1,43,1.0,1,1,0,0.0139,39,0.0
781928.0,1,25,1.0,1,1,0,0.0139,19,0.0
791429.0,1,24,1.0,1,1,0,0.0139,18,0.0
2023614.0,1,11,2.0,2,2,0,0.0417,11,0.0
791215.0,1,21,1.0,1,1,0,0.0278,17,0.0
165722.0,1,14,1.0,1,1,0,0.0417,7,0.0
167770.0,1,43,1.5,1,2,31,0.0417,29,0.0
623043.0,1,19,0.0,0,0,1,0.0139,19,0.0
168350.0,1,23,1.0,1,1,9,0.0278,11,0.0
788432.0,1,27,1.0,1,1,0,0.0278,20,0.0
616362.0,1,27,1.0,1,1,0,0.0139,24,0.0
204799.0,1,1110,2.0,2,2,2,0.0417,1074,0.0
169270.0,1,17,1.0,1,1,0,0.0139,15,0.0
616771.0,1,40,1.0,1,1,1,0.0417,26,0.0
616499.0,1,22,1.0,1,1,1,0.0278,13,0.0
778254.0,1,30,1.0,1,1,1,0.0417,21,0.0
165472.0,1,31,1.0,1,1,0,0.0278,21,0.0
616443.0,1,39,1.0,1,1,0,0.0139,34,0.0
788559.0,1,20,1.0,1,1,0,0.0278,13,0.0
168067.0,1,54,1.5,1,2,11,0.0417,26,0.0
780068.0,1,27,1.0,1,1,0,0.0139,19,0.0
166664.0,1,15,1.0,1,1,0,0.0278,4,0.0
621562.0,1,11,1.0,1,1,0,0.0417,12,0.0
791388.0,1,23,1.0,1,1,0,0.0278,15,0.0
209411.0,1,138,5.0,5,5,0,0.0139,128,0.0
791397.0,1,24,1.0,1,1,0,0.0278,13,0.0
9402.0,3,0,0.0,0,0,0,0.0,1,0.0
934001.0,3,0,0.0,0,0,0,0.0,1,0.0
2023808.0,3,0,0.0,0,0,0,0.0,1,0.0
